municipality,zip_code,ev_count
WINSLOW,61089,3
WOOSUNG,61091,0
ROCKFORD,61101,13
ROCKFORD,61102,11
ROCKFORD,61103,24
ROCKFORD,61104,5
ROCKFORD,61105,0
ROCKFORD,61106,0
ROCKFORD,61107,76
ROCKFORD,61108,32
ROCKFORD,61109,28
ROCKFORD,61110,0
LOVES PARK,61111,40
ROCKFORD,61112,1
ROCKFORD,61114,54
MACHESNEY PARK,61115,29
ROCKFORD,61125,0
ROCKFORD,61126,0
LOVES PARK,61130,0
LOVES PARK,61131,0
LOVES PARK,61132,0
ROCK ISLAND,61201,27
ROCK ISLAND,61204,0
ALBANY,61230,0
ALEDO,61231,1
ANDALUSIA,61232,3
ANDOVER,61233,0
ANNAWAN,61234,0
ATKINSON,61235,1
BARSTOW,61236,0
BUFFALO PRAIRIE,61237,0
CAMBRIDGE,61238,3
CARBON CLIFF,61239,1
COAL VALLEY,61240,8
COLONA,61241,7
CORDOVA,61242,0
DEER GROVE,61243,1
EAST MOLINE,61244,18
ERIE,61250,0
FENTON,61251,0
FULTON,61252,3
GENESEO,61254,10
HAMPTON,61256,2
HILLSDALE,61257,1
HOOPPOLE,61258,0
ILLINOIS CITY,61259,0
JOY,61260,0
LYNDON,61261,0
LYNN CENTER,61262,1
MATHERVILLE,61263,0
MILAN,61264,10
MOLINE,61265,34
MOLINE,61266,0
MORRISON,61270,3
NEW BOSTON,61272,0
ORION,61273,5
OSCO,61274,1
PORT BYRON,61275,8
PREEMPTION,61276,0
PROPHETSTOWN,61277,2
RAPIDS CITY,61278,0
REYNOLDS,61279,1
SHERRARD,61281,2
SILVIS,61282,5
TAMPICO,61283,1
TAYLOR RIDGE,61284,4
THOMSON,61285,0
ROCK ISLAND,61299,0
LA SALLE,61301,7
AMBOY,61310,0
ANCONA,61311,0
ARLINGTON,61312,1
BLACKSTONE,61313,0
BUDA,61314,0
BUREAU,61315,0
CEDAR POINT,61316,0
CHERRY,61317,1
COMPTON,61318,0
CORNELL,61319,1
DALZELL,61320,1
DANA,61321,0
DEPUE,61322,0
DOVER,61323,1
ELDENA,61324,0
GRAND RIDGE,61325,0
GRANVILLE,61326,1
HENNEPIN,61327,3
KASBEER,61328,0
LADD,61329,0
LA MOILLE,61330,0
LEE CENTER,61331,0
LEONORE,61332,0
